,ROI,Original,Hausdorff_ROI,Hausdorff_Original
Case-0318,0.916796486217491,0.9037914401184058,-1.0,-1.0
Case-0319,0.8744704319448864,0.8689670101307473,-1.0,-1.0
Case-0320,0.8626665386830485,0.8600686965127787,-1.0,-1.0
Case-0321,0.9221244821528152,0.9177517238787742,-1.0,-1.0
Case-0322,0.915574668233286,0.9041496520546,-1.0,-1.0
Case-0323,0.9054383343852612,0.8894242839761293,-1.0,-1.0
Case-0324,0.9139800426500624,0.9091289934792904,-1.0,-1.0
Case-0325,0.9151039669016166,0.9076401360248131,-1.0,-1.0
Case-0326,0.9234218082586604,0.9165625351714346,-1.0,-1.0
Case-0327,0.8833212607025586,0.8777316161196509,-1.0,-1.0
Case-0328,0.9425394190626696,0.9314985171109414,-1.0,-1.0
Case-0329,0.8980675283762171,0.8922961091951231,-1.0,-1.0
Case-0330,0.9030434339876044,0.8966295403540853,-1.0,-1.0
Case-0331,0.9293739837974182,0.9186145385363584,-1.0,-1.0
Case-0333,0.9221860059301716,0.911749890142868,-1.0,-1.0
Case-0334,0.8644403255358132,0.8618471001531315,-1.0,-1.0
Case-0335,0.9383167509197552,0.93499942625459,-1.0,-1.0
Case-0336,0.8773708901644812,0.8770412104744401,-1.0,-1.0
Case-0337,0.9433510980711448,0.9363784010657128,-1.0,-1.0
Case-0338,0.9239609665862132,0.9169564536340852,-1.0,-1.0
Case-0339,0.9311477958531794,0.9223338287295648,-1.0,-1.0
Case-0340,0.9257470577838454,0.9187847132820832,-1.0,-1.0
Case-0341,0.9365941234777532,0.9293668037557228,-1.0,-1.0
Case-0342,0.9228788379883499,0.90838876987259,-1.0,-1.0
Case-0343,0.9230673024751204,0.9091255943737364,-1.0,-1.0
Case-0344,0.9411648952728244,0.9417403536977492,-1.0,-1.0
Case-0345,0.9100081857250052,0.9076103726899736,-1.0,-1.0
AVG,0.9097450272678046,0.9047813308084424,-1.0,-1.0
